mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.712391,0.000000,-3.432327,-2.862413,28,3311,True
1,-8.903573,0.000000,-3.432325,-2.862413,25,3314,True
2,-8.828465,0.000000,-3.432322,-2.862411,20,3319,True
3,-8.849375,0.000000,-3.432322,-2.862411,20,3319,True
4,-9.432292,0.000000,-3.432319,-2.862410,16,3323,True
5,-8.647926,0.000000,-3.432325,-2.862413,25,3314,True
6,-8.113522,0.000000,-3.432322,-2.862411,21,3318,True
7,-7.947510,0.000000,-3.432325,-2.862413,25,3314,True
8,-10.393240,0.000000,-3.432314,-2.862408,7,3332,True
9,-8.611179,0.000000,-3.432325,-2.862413,25,3314,True
10,-8.281984,0.000000,-3.432321,-2.862411,19,3320,True
11,-10.344470,0.000000,-3.432317,-2.862409,12,3327,True
12,-8.966262,0.000000,-3.432321,-2.862411,19,3320,True
13,-11.591067,0.000000,-3.432318,-2.862410,14,3325,True
14,-9.641931,0.000000,-3.432319,-2.862410,16,3323,True
15,-9.275173,0.000000,-3.432321,-2.862411,19,3320,True
16,-10.958832,0.000000,-3.432318,-2.862410,14,3325,True
17,-9.401782,0.000000,-3.432321,-2.862411,19,3320,True
18,-9.003057,0.000000,-3.432325,-2.862413,25,3314,True
