mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-11.533966,0.000000,-3.432316,-2.862409,11,3328,True
1,-12.203564,0.000000,-3.432316,-2.862409,10,3329,True
2,-11.391867,0.000000,-3.432316,-2.862409,11,3328,True
3,-10.670421,0.000000,-3.432316,-2.862409,10,3329,True
4,-15.623161,0.000000,-3.432315,-2.862408,8,3331,True
5,-15.193747,0.000000,-3.432315,-2.862408,8,3331,True
6,-14.022575,0.000000,-3.432315,-2.862408,9,3330,True
7,-14.666246,0.000000,-3.432315,-2.862408,9,3330,True
8,-11.096010,0.000000,-3.432318,-2.862410,14,3325,True
9,-10.829158,0.000000,-3.432318,-2.862409,13,3326,True
10,-9.686593,0.000000,-3.432318,-2.862410,14,3325,True
11,-9.597538,0.000000,-3.432320,-2.862410,17,3322,True
12,-9.545330,0.000000,-3.432319,-2.862410,16,3323,True
13,-9.999967,0.000000,-3.432318,-2.862410,14,3325,True
14,-10.131745,0.000000,-3.432318,-2.862410,14,3325,True
15,-10.783470,0.000000,-3.432318,-2.862409,13,3326,True
16,-10.597553,0.000000,-3.432318,-2.862410,14,3325,True
17,-11.214757,0.000000,-3.432317,-2.862409,12,3327,True
18,-10.763024,0.000000,-3.432319,-2.862410,15,3324,True
