mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-11.970181,0.000000,-3.432316,-2.862409,10,3329,True
1,-12.363386,0.000000,-3.432316,-2.862409,10,3329,True
2,-10.530392,0.000000,-3.432316,-2.862409,11,3328,True
3,-13.757975,0.000000,-3.432316,-2.862409,10,3329,True
4,-17.090047,0.000000,-3.432315,-2.862408,8,3331,True
5,-14.329174,0.000000,-3.432315,-2.862408,8,3331,True
6,-10.385330,0.000000,-3.432319,-2.862410,15,3324,True
7,-12.171099,0.000000,-3.432315,-2.862408,9,3330,True
8,-9.228308,0.000000,-3.432319,-2.862410,16,3323,True
9,-11.845873,0.000000,-3.432318,-2.862410,14,3325,True
10,-9.881267,0.000000,-3.432319,-2.862410,15,3324,True
11,-9.397915,0.000000,-3.432319,-2.862410,16,3323,True
12,-11.485614,0.000000,-3.432318,-2.862409,13,3326,True
13,-11.028955,0.000000,-3.432318,-2.862409,13,3326,True
14,-10.144337,0.000000,-3.432318,-2.862410,14,3325,True
15,-11.084908,0.000000,-3.432316,-2.862409,11,3328,True
16,-10.256033,0.000000,-3.432316,-2.862409,11,3328,True
17,-11.363945,0.000000,-3.432318,-2.862410,14,3325,True
18,-10.920172,0.000000,-3.432319,-2.862410,15,3324,True
