mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.942708,0.000000,-3.432310,-2.862406,0,3339,True
1,-8.386504,0.000000,-3.432311,-2.862406,1,3338,True
2,-9.154873,0.000000,-3.432318,-2.862409,13,3326,True
3,-9.620382,0.000000,-3.432321,-2.862411,18,3321,True
4,-8.409296,0.000000,-3.432325,-2.862413,26,3313,True
5,-11.527594,0.000000,-3.432319,-2.862410,15,3324,True
6,-11.700393,0.000000,-3.432317,-2.862409,12,3327,True
7,-9.168568,0.000000,-3.432315,-2.862408,9,3330,True
8,-10.997682,0.000000,-3.432316,-2.862409,10,3329,True
9,-6.979604,0.000000,-3.432326,-2.862413,27,3312,True
10,-7.732100,0.000000,-3.432324,-2.862412,24,3315,True
11,-9.688089,0.000000,-3.432319,-2.862410,16,3323,True
12,-7.503288,0.000000,-3.432325,-2.862413,26,3313,True
13,-8.558552,0.000000,-3.432327,-2.862414,29,3310,True
14,-9.617937,0.000000,-3.432319,-2.862410,15,3324,True
15,-8.311397,0.000000,-3.432324,-2.862412,24,3315,True
16,-10.676603,0.000000,-3.432319,-2.862410,15,3324,True
17,-8.430186,0.000000,-3.432325,-2.862413,26,3313,True
18,-9.494683,0.000000,-3.432319,-2.862410,15,3324,True
