mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-12.140988,0.000000,-3.432316,-2.862409,11,3328,True
1,-9.242923,0.000000,-3.432313,-2.862408,6,3333,True
2,-10.104924,0.000000,-3.432315,-2.862408,9,3330,True
3,-12.470845,0.000000,-3.432315,-2.862408,9,3330,True
4,-12.347265,0.000000,-3.432315,-2.862408,9,3330,True
5,-12.865174,0.000000,-3.432316,-2.862409,10,3329,True
6,-13.184500,0.000000,-3.432316,-2.862409,11,3328,True
7,-14.055073,0.000000,-3.432315,-2.862408,8,3331,True
8,-14.933060,0.000000,-3.432315,-2.862408,9,3330,True
9,-15.720582,0.000000,-3.432313,-2.862408,6,3333,True
10,-15.696693,0.000000,-3.432313,-2.862407,5,3334,True
11,-17.709904,0.000000,-3.432314,-2.862408,7,3332,True
12,-18.297960,0.000000,-3.432313,-2.862408,6,3333,True
13,-17.331205,0.000000,-3.432313,-2.862407,5,3334,True
14,-17.373116,0.000000,-3.432313,-2.862407,5,3334,True
15,-17.294245,0.000000,-3.432314,-2.862408,7,3332,True
16,-19.146898,0.000000,-3.432313,-2.862408,6,3333,True
17,-19.185251,0.000000,-3.432314,-2.862408,7,3332,True
18,-18.126411,0.000000,-3.432313,-2.862407,5,3334,True
