mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-11.397096,0.000000,-3.432318,-2.862409,13,3326,True
1,-15.100851,0.000000,-3.432312,-2.862407,3,3336,True
2,-12.796020,0.000000,-3.432319,-2.862410,15,3324,True
3,-10.586880,0.000000,-3.432319,-2.862410,15,3324,True
4,-18.616182,0.000000,-3.432312,-2.862407,3,3336,True
5,-19.765514,0.000000,-3.432311,-2.862407,2,3337,True
6,-16.958519,0.000000,-3.432316,-2.862409,10,3329,True
7,-21.960560,0.000000,-3.432312,-2.862407,4,3335,True
8,-16.287487,0.000000,-3.432316,-2.862409,10,3329,True
9,-10.339737,0.000000,-3.432321,-2.862411,18,3321,True
10,-16.382864,0.000000,-3.432315,-2.862408,8,3331,True
11,-15.533771,0.000000,-3.432312,-2.862407,4,3335,True
12,-20.473355,0.000000,-3.432311,-2.862407,2,3337,True
13,-15.129605,0.000000,-3.432315,-2.862408,8,3331,True
14,-17.380655,0.000000,-3.432312,-2.862407,4,3335,True
15,-20.149509,0.000000,-3.432312,-2.862407,3,3336,True
16,-22.599784,0.000000,-3.432311,-2.862407,2,3337,True
17,-15.843223,0.000000,-3.432314,-2.862408,7,3332,True
18,-23.851790,0.000000,-3.432311,-2.862407,2,3337,True
