mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-10.626348,0.000000,-3.432316,-2.862409,10,3329,True
1,-14.888788,0.000000,-3.432315,-2.862408,9,3330,True
2,-11.162959,0.000000,-3.432320,-2.862410,17,3322,True
3,-10.479772,0.000000,-3.432322,-2.862411,20,3319,True
4,-8.671637,0.000000,-3.432326,-2.862413,27,3312,True
5,-9.562655,0.000000,-3.432324,-2.862412,23,3316,True
6,-10.598343,0.000000,-3.432327,-2.862413,28,3311,True
7,-15.285424,0.000000,-3.432321,-2.862411,18,3321,True
8,-11.053114,0.000000,-3.432322,-2.862411,21,3318,True
9,-11.424634,0.000000,-3.432317,-2.862409,12,3327,True
10,-10.915709,0.000000,-3.432326,-2.862413,27,3312,True
11,-12.344494,0.000000,-3.432319,-2.862410,15,3324,True
12,-10.901189,0.000000,-3.432322,-2.862411,20,3319,True
13,-13.146261,0.000000,-3.432319,-2.862410,15,3324,True
14,-12.779922,0.000000,-3.432319,-2.862410,15,3324,True
15,-17.723732,0.000000,-3.432313,-2.862407,5,3334,True
16,-12.730603,0.000000,-3.432319,-2.862410,16,3323,True
17,-12.863426,0.000000,-3.432317,-2.862409,12,3327,True
18,-11.106193,0.000000,-3.432319,-2.862410,16,3323,True
