mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-9.089833,0.000000,-3.432310,-2.862406,0,3339,True
1,-9.327887,0.000000,-3.432311,-2.862406,1,3338,True
2,-6.607394,0.000000,-3.432323,-2.862412,22,3317,True
3,-6.312238,0.000000,-3.432323,-2.862412,22,3317,True
4,-8.349455,0.000000,-3.432311,-2.862407,2,3337,True
5,-8.041763,0.000000,-3.432324,-2.862412,24,3315,True
6,-9.209943,0.000000,-3.432318,-2.862409,13,3326,True
7,-8.579470,0.000000,-3.432327,-2.862413,28,3311,True
8,-8.645535,0.000000,-3.432325,-2.862413,25,3314,True
9,-8.772251,0.000000,-3.432324,-2.862412,24,3315,True
10,-9.524629,0.000000,-3.432317,-2.862409,12,3327,True
11,-8.741769,0.000000,-3.432327,-2.862413,28,3311,True
12,-8.716314,0.000000,-3.432325,-2.862413,25,3314,True
13,-7.670269,0.000000,-3.432322,-2.862411,21,3318,True
14,-6.548992,0.000000,-3.432323,-2.862412,22,3317,True
15,-9.127226,0.000000,-3.432317,-2.862409,12,3327,True
16,-8.766586,0.000000,-3.432318,-2.862410,14,3325,True
17,-10.347179,0.000000,-3.432318,-2.862410,14,3325,True
18,-7.698383,0.000000,-3.432327,-2.862413,28,3311,True
