mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-11.751480,0.000000,-3.432316,-2.862409,11,3328,True
1,-9.527370,0.000000,-3.432313,-2.862408,6,3333,True
2,-10.392646,0.000000,-3.432314,-2.862408,7,3332,True
3,-12.099908,0.000000,-3.432316,-2.862409,10,3329,True
4,-13.045801,0.000000,-3.432317,-2.862409,12,3327,True
5,-12.436113,0.000000,-3.432317,-2.862409,12,3327,True
6,-12.886988,0.000000,-3.432317,-2.862409,12,3327,True
7,-14.512409,0.000000,-3.432314,-2.862408,7,3332,True
8,-14.128475,0.000000,-3.432315,-2.862408,9,3330,True
9,-16.089525,0.000000,-3.432316,-2.862409,10,3329,True
10,-16.033349,0.000000,-3.432313,-2.862407,5,3334,True
11,-17.160737,0.000000,-3.432315,-2.862408,8,3331,True
12,-17.416603,0.000000,-3.432314,-2.862408,7,3332,True
13,-18.184711,0.000000,-3.432312,-2.862407,4,3335,True
14,-17.262160,0.000000,-3.432312,-2.862407,4,3335,True
15,-17.140207,0.000000,-3.432313,-2.862408,6,3333,True
16,-17.363758,0.000000,-3.432313,-2.862407,5,3334,True
17,-20.420809,0.000000,-3.432313,-2.862408,6,3333,True
18,-17.181775,0.000000,-3.432313,-2.862407,5,3334,True
